Gene identifier	baseMean	log2FoldChange	lfcSE	stat	p-value	p-adjusted
MSTRG.4040	286.3745	2.1045	0.3647	41.2926	5.6683E-09	2.5357E-08
MSTRG.20777	190.9758	-1.0194	0.1730	41.2813	5.6999E-09	2.5493E-08
MSTRG.12356	119.9691	0.3880	0.2631	41.2734	5.7219E-09	2.5587E-08
MSTRG.8830	301.6852	0.6694	0.3067	41.2640	5.7482E-09	2.5700E-08
MSTRG.17902	1’219.8219	-0.8218	0.1741	41.2570	5.7679E-09	2.5783E-08
MSTRG.11491	9’912.9257	-0.0774	0.1000	41.2409	5.8134E-09	2.5982E-08
MSTRG.7490	11.5759	7.3212	1.3751	41.2265	5.8544E-09	2.6160E-08
ENSG00000237223.6	28.5022	3.2112	0.5550	41.1950	5.9453E-09	2.6562E-08
MSTRG.6622	243.2649	-0.0476	0.1905	41.1773	5.9967E-09	2.6786E-08
MSTRG.3004	1’548.9784	-0.2891	0.1936	41.1596	6.0488E-09	2.7014E-08
MSTRG.23749	609.8029	-0.1821	0.1335	41.1152	6.1814E-09	2.7601E-08
MSTRG.6521	15’471.9800	-0.1324	0.1045	41.1086	6.2013E-09	2.7685E-08
MSTRG.10209	12’057.3636	-0.4235	0.1177	41.0994	6.2293E-09	2.7804E-08
MSTRG.1458	6’334.8273	-0.3330	0.0960	41.0909	6.2553E-09	2.7915E-08
MSTRG.393	6’072.8899	-0.9696	0.1781	41.0597	6.3513E-09	2.8338E-08
MSTRG.20874	10’104.0593	0.5755	0.1124	41.0582	6.3561E-09	2.8355E-08
MSTRG.5868	973.7844	0.9404	0.1702	41.0574	6.3586E-09	2.8360E-08
MSTRG.13595	221.8953	-1.2057	0.1894	41.0460	6.3938E-09	2.8512E-08
ENSG00000120875.9	55.3251	6.2460	1.0866	41.0428	6.4040E-09	2.8552E-08
MSTRG.15287	3’836.7350	0.4582	0.1332	41.0187	6.4798E-09	2.8885E-08
MSTRG.11400	3’945.7083	-0.4594	0.1037	40.9903	6.5703E-09	2.9283E-08
MSTRG.24560	14’279.0695	-0.4366	0.1266	40.9801	6.6030E-09	2.9423E-08
MSTRG.19308	7’694.2298	-0.0623	0.0930	40.9794	6.6054E-09	2.9428E-08
MSTRG.4533	3’773.2749	-0.6035	0.1256	40.9760	6.6162E-09	2.9471E-08
MSTRG.13396	2’100.8058	-0.6283	0.1121	40.9619	6.6619E-09	2.9669E-08
MSTRG.17521	9’174.7536	-1.0073	0.1625	40.9529	6.6913E-09	2.9794E-08
MSTRG.16012	14’728.5064	0.5585	0.0981	40.9368	6.7441E-09	3.0024E-08
MSTRG.21747	38.3496	2.0966	0.4188	40.9351	6.7496E-09	3.0043E-08
MSTRG.15038	1’442.9670	-0.6104	0.1316	40.9323	6.7589E-09	3.0079E-08
MSTRG.11521	5’372.2281	-0.4843	0.1078	40.9255	6.7815E-09	3.0173E-08
MSTRG.23083	14.2012	3.1126	0.9935	40.9232	6.7891E-09	3.0202E-08
ENSG00000160808.11	10.1793	0.9110	1.4000	40.9160	6.8131E-09	3.0303E-08
MSTRG.16757	5’028.3544	0.1776	0.0863	40.9116	6.8277E-09	3.0362E-08
MSTRG.13693	1’104.7063	0.4318	0.1620	40.8919	6.8938E-09	3.0650E-08
MSTRG.9974	58.5391	0.7566	0.3162	40.8833	6.9227E-09	3.0770E-08
ENSG00000108830.10	26.4385	0.5280	0.5498	40.8831	6.9233E-09	3.0770E-08
MSTRG.3358	4’392.5384	-0.5199	0.1044	40.8525	7.0276E-09	3.1228E-08
MSTRG.10653	7’534.6835	0.3262	0.1540	40.8517	7.0304E-09	3.1235E-08
MSTRG.12981	1’075.0571	1.0441	0.2033	40.8510	7.0329E-09	3.1240E-08
MSTRG.20091	3’732.5410	-1.1319	0.1891	40.8460	7.0498E-09	3.1309E-08
MSTRG.22440	1’179.0269	0.4249	0.1276	40.8096	7.1765E-09	3.1866E-08
MSTRG.26904	504.2030	1.0463	0.1841	40.8070	7.1855E-09	3.1900E-08
MSTRG.23332	1’865.0521	-0.9653	0.2261	40.7966	7.2222E-09	3.2057E-08
MSTRG.7450	2’183.3881	1.1279	0.1761	40.7876	7.2537E-09	3.2191E-08
MSTRG.7283	4’851.8734	-0.4521	0.0935	40.7872	7.2551E-09	3.2191E-08
ENSG00000184937.15	324.8052	-1.0893	0.1843	40.7659	7.3312E-09	3.2523E-08
MSTRG.1287	129’210.5773	0.5281	0.1566	40.7642	7.3374E-09	3.2544E-08
MSTRG.19351	11’867.3485	-0.7972	0.1505	40.7228	7.4869E-09	3.3201E-08
MSTRG.10500	1’281.6068	-0.4310	0.1611	40.7193	7.4997E-09	3.3252E-08
MSTRG.24503	2’076.2394	-0.7202	0.1271	40.7178	7.5055E-09	3.3271E-08
MSTRG.24619	8.3623	-0.1048	1.5848	40.7130	7.5231E-09	3.3343E-08
MSTRG.24878	436.7660	0.5734	0.2016	40.6965	7.5837E-09	3.3606E-08
MSTRG.22227	3’060.1634	0.5667	0.1043	40.6960	7.5857E-09	3.3608E-08
MSTRG.5624	224.7964	-0.5023	0.2227	40.6814	7.6400E-09	3.3836E-08
MSTRG.18949	2’913.5688	0.5781	0.1986	40.6814	7.6400E-09	3.3836E-08
MSTRG.17883	5’086.1086	-0.4274	0.1303	40.6737	7.6687E-09	3.3957E-08
MSTRG.4912	204.7565	-1.7267	0.2890	40.6702	7.6820E-09	3.4010E-08
MSTRG.26227	1’817.3593	-0.9644	0.1602	40.6545	7.7409E-09	3.4264E-08
MSTRG.3509	24’046.7218	0.1315	0.1538	40.6436	7.7821E-09	3.4440E-08
MSTRG.14466	6’501.3516	-0.3436	0.1697	40.6352	7.8141E-09	3.4575E-08
MSTRG.7917	1’341.2731	0.2992	0.1383	40.6338	7.8197E-09	3.4594E-08
ENSG00000126217.21	160.9400	2.1256	0.3270	40.6305	7.8321E-09	3.4642E-08
MSTRG.4243	2’537.7254	-0.0741	0.1199	40.6278	7.8424E-09	3.4681E-08
MSTRG.19787	5’422.6501	-0.1138	0.1122	40.6266	7.8472E-09	3.4696E-08
MSTRG.14043	3’069.6390	-0.6094	0.1278	40.6256	7.8511E-09	3.4707E-08
ENSG00000267505.1	10.1177	2.0559	0.7101	40.6248	7.8540E-09	3.4713E-08
MSTRG.8356	70.7047	1.9532	0.3275	40.6219	7.8653E-09	3.4757E-08
MSTRG.798	614.5454	-0.2354	0.2137	40.6197	7.8735E-09	3.4787E-08
MSTRG.13683	24’211.8676	0.1449	0.0755	40.6179	7.8807E-09	3.4812E-08
MSTRG.9944	2’153.2252	0.6701	0.1273	40.6167	7.8851E-09	3.4825E-08
MSTRG.6496	18’662.7380	-0.5797	0.0934	40.6094	7.9135E-09	3.4944E-08
ENSG00000229155.1	22.8316	1.3904	0.5900	40.6052	7.9295E-09	3.5009E-08
MSTRG.12576	9’251.2066	-0.2834	0.1318	40.5938	7.9740E-09	3.5198E-08
MSTRG.13107	8’273.0364	0.5592	0.1244	40.5910	7.9849E-09	3.5240E-08
MSTRG.3285	2’337.9388	-0.7007	0.1329	40.5903	7.9877E-09	3.5246E-08
MSTRG.12770	893.2177	1.0844	0.2660	40.5870	8.0005E-09	3.5296E-08
MSTRG.23676	15’792.4758	-0.1041	0.1027	40.5822	8.0193E-09	3.5372E-08
MSTRG.20257	9’482.6804	-0.6095	0.1358	40.5795	8.0296E-09	3.5411E-08
ENSG00000254842.6	12.5502	1.5711	0.6237	40.5731	8.0546E-09	3.5515E-08
MSTRG.16839	16’561.9417	-0.5274	0.1133	40.5708	8.0640E-09	3.5550E-08
MSTRG.8319	2’662.5142	0.0703	0.1499	40.5696	8.0684E-09	3.5563E-08
MSTRG.12156	1’616.4163	0.7629	0.2023	40.5622	8.0978E-09	3.5686E-08
MSTRG.2019	247.1907	1.4459	0.2322	40.5601	8.1061E-09	3.5716E-08
MSTRG.6338	27.3062	0.2357	0.4970	40.5580	8.1144E-09	3.5746E-08
MSTRG.21619	470.7247	-0.3821	0.1580	40.5505	8.1440E-09	3.5870E-08
ENSG00000114646.10	9.5408	2.8004	1.4419	40.5397	8.1873E-09	3.6054E-08
ENSG00000257221.4	21.6867	-3.2782	0.5773	40.5385	8.1919E-09	3.6067E-08
MSTRG.5163	504.6147	0.3293	0.2247	40.5190	8.2706E-09	3.6407E-08
MSTRG.12087	52.3441	-2.5014	0.4025	40.5127	8.2960E-09	3.6512E-08
MSTRG.23665	12.3272	-0.6885	0.7886	40.5004	8.3460E-09	3.6726E-08
MSTRG.21418	4’876.0845	-0.3502	0.0905	40.4963	8.3624E-09	3.6791E-08
MSTRG.25958	2’045.7649	-0.8575	0.1704	40.4944	8.3704E-09	3.6819E-08
MSTRG.12644	2’883.6601	-0.3143	0.1027	40.4932	8.3755E-09	3.6835E-08
MSTRG.17161	3’170.8718	-0.3835	0.1243	40.4923	8.3789E-09	3.6843E-08
ENSG00000004939.15	4.8123	6.5653	1.4895	40.4792	8.4326E-09	3.7073E-08
MSTRG.16302	18’199.3105	-0.3452	0.1230	40.4763	8.4445E-09	3.7118E-08
MSTRG.21653	753.1716	-0.7112	0.1230	40.4629	8.4999E-09	3.7355E-08
MSTRG.7157	25’320.3510	-0.6582	0.1307	40.4571	8.5240E-09	3.7454E-08
MSTRG.22707	3’825.3378	0.6962	0.1291	40.4491	8.5574E-09	3.7593E-08
MSTRG.25022	4’221.2006	-1.0074	0.2657	40.4470	8.5665E-09	3.7627E-08
MSTRG.22700	706.8013	-0.8507	0.1381	40.4378	8.6049E-09	3.7788E-08
MSTRG.9929	81.6729	0.7076	0.3860	40.4374	8.6064E-09	3.7788E-08
MSTRG.22497	25.5699	0.8436	0.4589	40.4259	8.6549E-09	3.7994E-08
MSTRG.16	147.7445	2.2158	0.4890	40.4227	8.6685E-09	3.8047E-08
MSTRG.27234	8’130.4902	-0.1505	0.1205	40.4165	8.6948E-09	3.8155E-08
MSTRG.14435	3’519.9975	-0.1459	0.0894	40.4136	8.7072E-09	3.8203E-08
MSTRG.5224	2’704.7707	-0.5544	0.1598	40.3954	8.7848E-09	3.8536E-08
MSTRG.13028	3’167.6244	-0.5508	0.1015	40.3826	8.8398E-09	3.8770E-08
MSTRG.17539	29’399.5666	1.0251	0.1714	40.3790	8.8553E-09	3.8831E-08
MSTRG.11696	1’059.5749	-0.6188	0.1361	40.3784	8.8580E-09	3.8836E-08
MSTRG.26795	3’034.4497	-0.1930	0.1360	40.3771	8.8635E-09	3.8853E-08
MSTRG.10119	3’472.5279	0.2591	0.1693	40.3767	8.8655E-09	3.8854E-08
MSTRG.2325	279.0839	0.1635	0.2158	40.3760	8.8684E-09	3.8860E-08
MSTRG.2921	15’074.7605	0.4463	0.0962	40.3616	8.9310E-09	3.9127E-08
MSTRG.2616	116.1342	1.1711	0.2718	40.3603	8.9365E-09	3.9144E-08
MSTRG.2479	2’803.6815	-0.6866	0.1272	40.3571	8.9507E-09	3.9199E-08
MSTRG.22160	5’301.5224	0.5252	0.1493	40.3437	9.0096E-09	3.9450E-08
MSTRG.17873	202.4037	0.9158	0.3645	40.3330	9.0565E-09	3.9648E-08
ENSG00000112299.8	18.6746	1.5655	0.5488	40.3239	9.0968E-09	3.9817E-08
MSTRG.5595	249.9566	0.5731	0.2967	40.3138	9.1418E-09	4.0007E-08
MSTRG.20743	3’067.0238	-0.6554	0.1318	40.3111	9.1538E-09	4.0047E-08
MSTRG.1032	19’670.0462	0.1733	0.0787	40.3110	9.1544E-09	4.0047E-08
MSTRG.27770	11’093.0719	0.0538	0.2014	40.2959	9.2222E-09	4.0337E-08
MSTRG.5843	1’227.0966	-0.1147	0.1529	40.2852	9.2702E-09	4.0539E-08
MSTRG.14345	9’532.4342	-0.7571	0.1272	40.2773	9.3061E-09	4.0689E-08
MSTRG.25000	3’362.9102	0.5636	0.1239	40.2719	9.3309E-09	4.0790E-08
MSTRG.19867	7’749.8108	-0.8137	0.1511	40.2634	9.3694E-09	4.0951E-08
MSTRG.25348	8’023.3531	-0.5380	0.0996	40.2513	9.4250E-09	4.1186E-08
ENSG00000259727.1	63.3057	1.5867	0.2929	40.2293	9.5270E-09	4.1624E-08
MSTRG.28065	6’609.9009	-0.8613	0.1644	40.2047	9.6420E-09	4.2119E-08
MSTRG.20353	424.2474	-0.8588	0.1707	40.1965	9.6804E-09	4.2279E-08
MSTRG.17141	164.4318	-0.1787	0.2260	40.1847	9.7367E-09	4.2517E-08
MSTRG.19484	25’654.8980	0.1898	0.1091	40.1723	9.7959E-09	4.2768E-08
MSTRG.17797	4’135.3754	-0.6359	0.1276	40.1677	9.8176E-09	4.2855E-08
MSTRG.6688	1’660.1395	-0.8812	0.1490	40.1642	9.8346E-09	4.2921E-08
MSTRG.555	2’001.4452	0.7082	0.1126	40.1611	9.8495E-09	4.2978E-08
MSTRG.12573	8’448.6084	-0.0057	0.1216	40.1359	9.9713E-09	4.3502E-08
MSTRG.15694	2’631.5246	0.4004	0.1930	40.1168	1.0065E-08	4.3902E-08
MSTRG.4289	1’202.8270	0.2799	0.1111	40.1049	1.0124E-08	4.4150E-08
MSTRG.8269	2’950.8062	-0.1864	0.1167	40.1017	1.0139E-08	4.4210E-08
MSTRG.640	4’923.3119	-0.4222	0.1277	40.0821	1.0237E-08	4.4627E-08
MSTRG.27848	4’132.6732	-0.1643	0.1475	40.0792	1.0251E-08	4.4683E-08
MSTRG.22246	169.5840	1.0148	0.2021	40.0776	1.0259E-08	4.4709E-08
MSTRG.23118	1’770.0768	-0.0110	0.0922	40.0748	1.0273E-08	4.4761E-08
MSTRG.17292	6’845.2946	-0.0181	0.1193	40.0721	1.0286E-08	4.4812E-08
MSTRG.10679	3’706.0205	-0.4463	0.1961	40.0708	1.0293E-08	4.4832E-08
MSTRG.27512	19’225.5807	0.4138	0.0662	40.0645	1.0325E-08	4.4963E-08
MSTRG.9852	4’985.9347	-0.4803	0.2125	40.0576	1.0360E-08	4.5107E-08
MSTRG.6377	5’508.9374	-0.2556	0.1199	40.0420	1.0439E-08	4.5443E-08
MSTRG.22547	225.1216	0.1982	0.1741	40.0398	1.0450E-08	4.5483E-08
MSTRG.22106	229.8160	0.3411	0.2957	40.0297	1.0502E-08	4.5700E-08
MSTRG.1121	5’283.0773	-0.1682	0.1003	40.0181	1.0561E-08	4.5950E-08
MSTRG.27548	15’459.0689	0.3164	0.0932	40.0128	1.0589E-08	4.6062E-08
MSTRG.6585	1’364.3478	-0.2509	0.1383	40.0108	1.0599E-08	4.6098E-08
MSTRG.24988	46.9613	4.2015	1.4451	40.0041	1.0634E-08	4.6240E-08
MSTRG.1187	2’149.9845	0.2164	0.0970	39.9864	1.0726E-08	4.6627E-08
MSTRG.20155	1’206.7238	-0.2476	0.1117	39.9863	1.0727E-08	4.6627E-08
MSTRG.1144	9’503.5932	0.0309	0.1215	39.9792	1.0764E-08	4.6781E-08
ENSG00000132357.14	21.5567	-4.3024	0.7608	39.9780	1.0770E-08	4.6799E-08
MSTRG.9443	2’742.6682	-0.5110	0.1494	39.9737	1.0793E-08	4.6890E-08
MSTRG.24133	12’605.1895	-0.4663	0.1268	39.9727	1.0798E-08	4.6904E-08
MSTRG.26717	7’512.2556	-0.5338	0.1248	39.9577	1.0877E-08	4.7240E-08
MSTRG.13703	133.4209	-0.1951	0.3116	39.9516	1.0910E-08	4.7372E-08
MSTRG.6423	7’847.8698	0.5171	0.1420	39.9404	1.0970E-08	4.7623E-08
MSTRG.27985	717.1504	-0.3906	0.1224	39.9372	1.0987E-08	4.7689E-08
MSTRG.24449	2’752.9360	-0.7037	0.1131	39.9289	1.1032E-08	4.7875E-08
MSTRG.21673	4’357.5902	-0.1925	0.1312	39.9054	1.1159E-08	4.8417E-08
MSTRG.25284	295.8953	-0.0715	0.2001	39.9002	1.1187E-08	4.8532E-08
MSTRG.19495	10’191.0858	0.4255	0.1403	39.8935	1.1224E-08	4.8682E-08
ENSG00000118514.14	13.1437	0.0472	0.7671	39.8881	1.1253E-08	4.8801E-08
MSTRG.12179	1’387.4609	0.8313	0.1710	39.8852	1.1269E-08	4.8862E-08
MSTRG.6922	2’627.0291	-0.7507	0.1883	39.8844	1.1273E-08	4.8871E-08
MSTRG.20078	2’865.0459	-1.1934	0.2291	39.8782	1.1307E-08	4.9010E-08
ENSG00000267405.1	8.8570	2.8311	0.8784	39.8753	1.1324E-08	4.9072E-08
MSTRG.1190	146.7237	1.9343	0.3575	39.8715	1.1345E-08	4.9154E-08
MSTRG.1772	6’178.6724	-0.6721	0.1491	39.8632	1.1391E-08	4.9344E-08
MSTRG.3319	6’571.2282	-0.6764	0.1117	39.8399	1.1521E-08	4.9893E-08
MSTRG.3588	102.1857	-7.4053	1.3258	39.8398	1.1522E-08	4.9893E-08
ENSG00000259459.6	9.9434	5.3871	1.2030	39.8326	1.1562E-08	5.0058E-08
MSTRG.16885	1’726.4169	-0.8660	0.1719	39.8272	1.1593E-08	5.0183E-08
MSTRG.5514	4’308.9115	-0.9046	0.1585	39.8255	1.1602E-08	5.0215E-08
ENSG00000154529.15	51.1736	2.1051	0.4667	39.8210	1.1628E-08	5.0316E-08
MSTRG.21044	4’019.9808	0.4783	0.1293	39.8159	1.1657E-08	5.0432E-08
MSTRG.18115	277.6494	1.0762	0.4033	39.8127	1.1675E-08	5.0503E-08
MSTRG.12829	4’521.3951	0.7534	0.1238	39.8064	1.1711E-08	5.0649E-08
ENSG00000163623.9	5.4651	5.6745	1.4494	39.8014	1.1740E-08	5.0764E-08
MSTRG.24673	6’764.1646	-0.5434	0.0979	39.7775	1.1877E-08	5.1349E-08
MSTRG.9798	3’584.5473	0.1896	0.1053	39.7596	1.1981E-08	5.1790E-08
MSTRG.16051	88.3801	-0.3175	0.3849	39.7508	1.2033E-08	5.2004E-08
MSTRG.24644	16’281.2732	1.2220	0.2377	39.7153	1.2243E-08	5.2904E-08
MSTRG.4171	1’923.4206	0.2364	0.1373	39.7141	1.2250E-08	5.2924E-08
MSTRG.12400	131.1815	1.0807	0.3526	39.7070	1.2293E-08	5.3098E-08
ENSG00000286915.1	5.6387	5.7676	1.4502	39.7065	1.2296E-08	5.3103E-08
MSTRG.27522	1’018.5881	-0.0591	0.1545	39.7043	1.2309E-08	5.3150E-08
MSTRG.26769	167.9325	0.0866	0.2219	39.6958	1.2360E-08	5.3361E-08
MSTRG.10941	7’336.9977	-0.2213	0.1074	39.6893	1.2400E-08	5.3522E-08
MSTRG.23123	753.0765	-1.6889	0.3327	39.6832	1.2437E-08	5.3662E-08
MSTRG.20905	172.5598	1.2880	0.2379	39.6832	1.2437E-08	5.3662E-08
MSTRG.27924	435.2157	0.0188	0.1692	39.6715	1.2508E-08	5.3959E-08
ENSG00000235269.2	8.1365	-5.8968	1.4007	39.6706	1.2513E-08	5.3973E-08
MSTRG.22667	12’015.3943	0.0045	0.1186	39.6288	1.2771E-08	5.5076E-08
MSTRG.15072	8’502.0885	0.6253	0.1103	39.6245	1.2798E-08	5.5181E-08
MSTRG.24701	3’092.9781	-0.8753	0.1480	39.6236	1.2804E-08	5.5195E-08
MSTRG.5533	3’328.6816	-0.9719	0.2072	39.6152	1.2856E-08	5.5412E-08
ENSG00000227764.2	23.9921	3.7239	0.7541	39.6102	1.2888E-08	5.5539E-08
ENSG00000255521.2	19.8768	-0.8681	0.6561	39.6058	1.2915E-08	5.5646E-08
MSTRG.27454	244.4809	-0.0366	0.2139	39.6043	1.2925E-08	5.5676E-08
MSTRG.13282	5.5248	3.2230	1.0217	39.5803	1.3077E-08	5.6323E-08
MSTRG.16884	149.2522	-1.5352	0.3135	39.5539	1.3246E-08	5.7042E-08
MSTRG.2712	60.1310	0.6898	0.4360	39.5520	1.3259E-08	5.7087E-08
MSTRG.13845	712.6258	-0.5451	0.1866	39.5476	1.3287E-08	5.7198E-08
MSTRG.5435	1’516.9998	-0.8650	0.1725	39.5359	1.3363E-08	5.7516E-08
MSTRG.18768	3’011.8727	0.5920	0.1283	39.5351	1.3368E-08	5.7527E-08
MSTRG.8207	670.7367	0.4366	0.1227	39.5269	1.3422E-08	5.7747E-08
MSTRG.23085	10’993.6171	-0.6702	0.1414	39.5220	1.3454E-08	5.7875E-08
ENSG00000214803.3	24.9896	3.0703	0.5307	39.5131	1.3513E-08	5.8117E-08
MSTRG.15552	2’197.7464	0.2359	0.1168	39.5096	1.3536E-08	5.8207E-08
MSTRG.17829	19.7973	-3.5372	0.6893	39.5079	1.3548E-08	5.8245E-08
MSTRG.1203	3’203.7073	0.6411	0.1142	39.5014	1.3591E-08	5.8419E-08
MSTRG.19659	167.1565	-0.0370	0.2397	39.4997	1.3601E-08	5.8455E-08
ENSG00000137699.17	21.7853	3.1245	0.8836	39.4665	1.3824E-08	5.9400E-08
MSTRG.16873	2’432.0296	-0.1064	0.1070	39.4554	1.3899E-08	5.9713E-08
MSTRG.27536	4’897.2772	0.4509	0.1213	39.4465	1.3959E-08	5.9961E-08
MSTRG.26108	5’469.2619	0.3309	0.2262	39.4342	1.4043E-08	6.0311E-08
MSTRG.3267	4’387.2545	-0.3432	0.1432	39.4096	1.4213E-08	6.1029E-08
MSTRG.16791	5’478.8063	-0.0948	0.1211	39.3990	1.4287E-08	6.1335E-08
ENSG00000155629.15	9.8648	-3.1045	1.1836	39.3846	1.4387E-08	6.1755E-08
ENSG00000237447.1	66.1548	1.6736	0.3001	39.3586	1.4571E-08	6.2533E-08
MSTRG.24934	295.7372	-1.0053	0.2728	39.3495	1.4636E-08	6.2800E-08
ENSG00000233117.4	181.5461	0.4792	0.2865	39.3339	1.4748E-08	6.3269E-08
MSTRG.5827	14’682.9975	-0.5380	0.1134	39.3321	1.4761E-08	6.3314E-08
MSTRG.2164	945.0173	0.9528	0.1515	39.3236	1.4822E-08	6.3563E-08
MSTRG.4227	1’298.9980	-0.4396	0.1473	39.3105	1.4917E-08	6.3960E-08
MSTRG.2469	15’198.6159	-0.5026	0.1055	39.3030	1.4972E-08	6.4184E-08
MSTRG.12171	20.0210	-1.9036	0.5554	39.2944	1.5034E-08	6.4441E-08
MSTRG.16403	1’093.4661	0.5200	0.1348	39.2940	1.5038E-08	6.4442E-08
MSTRG.26577	588.8127	-0.3669	0.1223	39.2937	1.5040E-08	6.4442E-08
MSTRG.23497	1’879.4050	0.7764	0.1437	39.2878	1.5083E-08	6.4616E-08
MSTRG.25753	24.6625	-3.2651	0.6041	39.2767	1.5165E-08	6.4955E-08
MSTRG.17005	645.1023	-0.1421	0.1066	39.2619	1.5275E-08	6.5414E-08
MSTRG.5875	219’264.6630	-0.2449	0.0963	39.2568	1.5313E-08	6.5564E-08
MSTRG.16348	41.9007	-0.8208	0.3073	39.2522	1.5348E-08	6.5702E-08
MSTRG.6554	16’517.6797	-0.1511	0.1256	39.2434	1.5414E-08	6.5969E-08
MSTRG.10519	310.3198	2.2619	0.6176	39.2431	1.5416E-08	6.5969E-08
MSTRG.25062	6’970.4731	-0.0097	0.1698	39.2422	1.5423E-08	6.5987E-08
MSTRG.25502	6’045.9943	-0.0803	0.0877	39.2289	1.5523E-08	6.6404E-08
MSTRG.16947	8’130.9095	-1.9561	0.3225	39.2225	1.5571E-08	6.6591E-08
MSTRG.10074	2’276.5402	-0.7006	0.1329	39.2224	1.5572E-08	6.6591E-08
MSTRG.24670	7’583.9659	-0.4320	0.0834	39.2190	1.5598E-08	6.6690E-08
ENSG00000253522.6	51.2410	-0.9545	0.3644	39.2143	1.5634E-08	6.6830E-08
MSTRG.2353	564.4863	0.9864	0.2306	39.2089	1.5675E-08	6.6996E-08
MSTRG.28128	615.5890	0.0521	0.1385	39.2044	1.5709E-08	6.7129E-08
MSTRG.3473	376.3888	-0.5486	0.1810	39.1982	1.5757E-08	6.7321E-08
MSTRG.7744	8’251.8999	-0.6810	0.1144	39.1905	1.5816E-08	6.7563E-08
MSTRG.3018	698.3176	-0.8962	0.2030	39.1756	1.5932E-08	6.8045E-08
MSTRG.24732	2’327.9132	-0.3413	0.1089	39.1475	1.6151E-08	6.8969E-08
MSTRG.9855	1’484.3086	-0.8821	0.2925	39.1458	1.6165E-08	6.9017E-08
ENSG00000172867.4	5.1766	6.7014	1.5713	39.1426	1.6190E-08	6.9112E-08
MSTRG.11288	222.2734	0.9711	0.2076	39.1357	1.6245E-08	6.9330E-08
MSTRG.19998	6’814.3000	-0.9352	0.1610	39.1225	1.6350E-08	6.9769E-08
MSTRG.25406	83.4605	-0.2181	0.2282	39.1056	1.6485E-08	7.0331E-08
ENSG00000091428.18	23.0888	2.3895	0.5563	39.1050	1.6490E-08	7.0339E-08
MSTRG.22309	918.8304	-0.0646	0.1525	39.0918	1.6596E-08	7.0781E-08
MSTRG.20944	142.2715	2.5949	0.4456	39.0884	1.6624E-08	7.0887E-08
MSTRG.2897	4’613.1304	0.3531	0.1156	39.0875	1.6632E-08	7.0907E-08
MSTRG.11881	7’272.9286	-0.1460	0.1025	39.0858	1.6645E-08	7.0951E-08
ENSG00000285722.1	25.6472	5.3697	0.9634	39.0723	1.6756E-08	7.1409E-08
MSTRG.23959	17’820.3468	-0.6483	0.1334	39.0571	1.6880E-08	7.1927E-08
MSTRG.9217	807.2995	0.7091	0.1467	39.0486	1.6950E-08	7.2211E-08
MSTRG.26776	60.2636	1.6360	0.2979	39.0434	1.6993E-08	7.2383E-08
MSTRG.757	3’639.2572	-0.6593	0.1786	39.0387	1.7032E-08	7.2535E-08
MSTRG.20505	675.8365	-0.9381	0.1961	39.0287	1.7116E-08	7.2879E-08
ENSG00000159640.16	6.8489	1.3798	1.6443	39.0063	1.7303E-08	7.3658E-08
MSTRG.24037	11’548.7634	-0.5608	0.1326	39.0061	1.7305E-08	7.3658E-08
MSTRG.6903	10’693.5596	-0.3509	0.1440	39.0047	1.7317E-08	7.3697E-08
ENSG00000223749.11	142.7934	-0.7100	0.2424	39.0039	1.7324E-08	7.3713E-08
MSTRG.1844	14.8321	0.1164	1.0109	38.9908	1.7435E-08	7.4172E-08
MSTRG.8082	3’184.6105	0.1675	0.1802	38.9858	1.7477E-08	7.4339E-08
MSTRG.24047	3’766.2555	-0.8229	0.1320	38.9833	1.7499E-08	7.4418E-08
MSTRG.22035	124.1666	-2.0532	0.3508	38.9791	1.7534E-08	7.4555E-08
MSTRG.5617	15’524.0793	-0.8276	0.1332	38.9764	1.7557E-08	7.4641E-08
MSTRG.298	349.1198	-1.6358	0.3065	38.9713	1.7601E-08	7.4807E-08
MSTRG.4255	1’453.1693	0.5563	0.1159	38.9711	1.7603E-08	7.4807E-08
MSTRG.24767	3’783.0578	-1.0772	0.1710	38.9540	1.7750E-08	7.5421E-08
ENSG00000287762.1	10.1914	4.7577	1.3748	38.9269	1.7987E-08	7.6413E-08
ENSG00000228824.7	105.6416	-1.4132	0.3458	38.9226	1.8025E-08	7.6559E-08
MSTRG.21496	3’021.5774	-0.7249	0.1968	38.9204	1.8044E-08	7.6626E-08
MSTRG.25601	11’597.6037	-0.8061	0.1494	38.9166	1.8077E-08	7.6755E-08
MSTRG.17246	1’106.9966	0.0107	0.1413	38.9142	1.8098E-08	7.6830E-08
MSTRG.27231	34.0710	-2.6472	0.5237	38.9039	1.8189E-08	7.7204E-08
MSTRG.14149	6’910.3619	-0.7672	0.1445	38.8935	1.8282E-08	7.7583E-08
MSTRG.20293	686.0438	-0.2349	0.1783	38.8908	1.8306E-08	7.7672E-08
MSTRG.25605	865.0238	-0.8179	0.1594	38.8857	1.8352E-08	7.7852E-08
MSTRG.11037	156.9743	1.0082	0.1874	38.8843	1.8364E-08	7.7892E-08
MSTRG.5376	654.7269	0.7930	0.1839	38.8837	1.8370E-08	7.7903E-08
MSTRG.7254	118.2663	-1.4895	0.2919	38.8513	1.8662E-08	7.9127E-08
MSTRG.25025	22.4952	1.9938	0.6224	38.8428	1.8740E-08	7.9441E-08
